,assay_id,doi,year,volume,issue,assay_description,compound_smiles,compound_name,value,unit,relation,log_value,classification_label,scaffold_smiles
0,1366626,10.1021/jm500535j,,,,Inhibition of human ERG,Nc1nc2ccc(OC3CCOC3)nc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,"rac-2-(2-Amino-5-((tetrahydrofuran-3-yl)oxy)-3H-imidazo[4,5-b]-pyridin-3-yl)-1-(2-chloro-4-(trifluoromethyl)phenyl)ethanol",16.6,uM,=,1.2201080880400552,1,c1ccc(CCn2cnc3ccc(OC4CCOC4)nc32)cc1
1,1550041,10.1039/C5MD00297D,,,,Displacement of MK499 from human ERG,COc1ccc2ncc(F)c(C(O)CC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,"(+)-6-((1-(2-(3-fluoro-6-methoxy-1,5-naphthyridin-4-yl)-2-hydroxyethyl)-2-oxabicyclo[2.2.2]octan-4-ylamino)methyl)-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one",1.3,uM,=,0.1139433523068367,1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1
2,1924512,10.1021/acsmedchemlett.6b00122,,,,Displacement of [35S]MK-499 from human ERG,Cc1c(CCN2CCN(CC(O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O,"US9018211, 12",5.2,uM,=,0.7160033436347992,1,O=C1OCc2cc(CCN3CCN(CCc4ccc5c(c4)COC5=O)CC3)ccc21
3,1447890,10.1021/ml500028c,,,,Inhibition of human ERG by MK-499 displacement binding analysis,CCOC(=O)c1cncc([C@@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)c1,"Ethyl5-((1S,3R)-3-(4-(4-fluorophenyl)-1H-imidazol-2-yl)-1-(1-methyl-1H-pyrazol-4-yl)-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-1-yl)nicotinate",2.52,uM,=,0.4014005407815441,1,c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@](c4cccnc4)(c4cn[nH]c4)N3)n2)cc1
4,766668,10.1016/j.bmcl.2011.07.006,,,,Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay,O=c1c2ccccc2nc(-c2ccc(OCCCN3CCCCC3)cc2)n1Cc1ccccc1,3-benzyl-2-(4-(3-(piperidin-1-yl)propoxy)phenyl)quinazolin-4(3H)-one,0.17,uM,=,-0.7695510786217261,0,O=c1c2ccccc2nc(-c2ccc(OCCCN3CCCCC3)cc2)n1Cc1ccccc1
5,2260545,10.1021/acs.jmedchem.0c02150,,,,Inhibition of human ERG,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3cccnc3cc2OC)[nH]1,(S)-N-((S)-1-(5-(7-methoxyquinolin-6-yl)-1H-imidazol-2-yl)-7-oxononyl)-6-methyl-6-azaspiro[2.5]octane-1-carboxamide,51.0,uM,=,1.7075701760979365,1,O=C(NCc1ncc(-c2ccc3ncccc3c2)[nH]1)[C@H]1CC12CCNCC2
6,2112211,10.1016/j.bmcl.2021.127909,,,,Inhibition of human ERG by automated patch method relative to control,Fc1ccc2c(C3CCN(CCCOc4ccc(CCN5CCCCC5)cc4)CC3)noc2c1,6-fluoro-3-(1-(4-(4-(3-(piperidin-1-yl)propyl)phenoxy)butyl)piperidin-4-yl)benzo[d]isoxazole,2.2902,uM,=,0.3598734103327424,1,c1ccc2c(C3CCN(CCCOc4ccc(CCN5CCCCC5)cc4)CC3)noc2c1
7,1853420,10.1016/j.ejmech.2019.06.037,,,,Inhibition of human ERG,O=C1OCCN1CCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,"N-(3-Bromo-4-fluorophenyl)-N'-hydroxy-4-((2-(2-oxooxazolidin-3yl)ethyl)amino)-1,2,5-oxadiazole-3-carboximidamide",31.12,uM,=,1.4930395883176513,1,N=C(Nc1ccccc1)c1nonc1NCCN1CCOC1=O
8,772990,10.1016/j.bmcl.2011.08.074,,,,Displacement of [3H]-astemizole from human ERG in HEK293 cells after 1 hrs by scintillation counting,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C4CCCC4)c4ccc(C(F)(F)F)cc34)C2)CC1,cis-ethyl 4-(3-(2-(1-cyclopentyl-5-(trifluoromethyl)-1H-indazol-3-ylamino)acetamido)azetidin-1-yl)cyclohexanecarboxylate,4.1,uM,=,0.6127838567197355,1,O=C(CNc1nn(C2CCCC2)c2ccccc12)NC1CN(C2CCCCC2)C1
9,1512245,10.1016/j.bmcl.2015.07.003,,,,Binding affinity to human ERG expressed in HEK cells by MK-499 radioligand displacement assay,COc1cc(-c2cn(C3CSc4ccccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,"3-(4-(3-methoxy-4-(4-methyl-1H-imidazol-1-yl)phenyl)-1H-1,2,3-triazol-1-yl)-5-(2,2,2-trifluoroethyl)-2,3-dihydrobenzo[b][1,4]thiazepin-4(5H)-one",4.75,uM,=,0.6766936096248666,1,O=C1Nc2ccccc2SCC1n1cc(-c2ccc(-n3ccnc3)cc2)nn1
