,assay_id,doi,year,volume,issue,assay_description,compound_smiles,compound_name,value,unit,relation,log_value,classification_label,scaffold_smiles
0,463671,10.1016/j.bmcl.2007.09.100,,,,Inhibition of human recombinant AChE by Ellman method,CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)CCc4ccc(F)c(F)c4)cc3oc2=O)cc1,"N-(2-(3-(4-((benzyl(ethyl)amino)methyl)phenyl)-2-oxo-2H-chromen-7-yloxy)ethyl)-3-(3,4-difluorophenyl)propanamide",0.327,uM,=,-0.4854522473397139,0,O=C(CCc1ccccc1)NCCOc1ccc2cc(-c3ccc(CNCc4ccccc4)cc3)c(=O)oc2c1
1,900249,10.1007/s00044-011-9695-0,,,,Inhibition of AChE (unknown origin) after 10 min by Ellmans method,Nc1c2c(nc3nc(-c4ccccc4)cc(C(F)(F)F)c13)-c1ccccc1C2,"2-Phenyl-4-(trifluoromethyl)-6H-indeno[1,2-b][1,8]-naphthyridin-5-amine",17.56,uM,=,1.2445245115700838,1,c1ccc(-c2ccc3cc4c(nc3n2)-c2ccccc2C4)cc1
2,774691,,,,,DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine),CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],"{4-[Bis-(4-dimethylamino-phenyl)-methylene]-cyclohexa-2,5-dienylidene}-dimethyl-ammonium chloride",5.847,uM,=,0.7669330938372839,1,[N+]=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1
3,28625,10.1021/jm950771r,,,,Inhibitory activity against Acetylcholinesterase,CC(C)NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,"(S)-5-Isopropylcarbamoyloxy-1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydro-pyrrolo[2,3-b]indol-1-ium",35.0,uM,=,1.5440680443502757,1,c1ccc2c(c1)NC1NCCC21
4,513727,10.1016/j.bmc.2008.07.009,,,,Inhibition of AchE,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,"9-methoxy-4-methyl-(1S,12S,14R)-11-oxa-4-azatetracyclo[8.6.1.01,12.06,17]heptadeca-6(17),7,9,15-tetraen-14-ol",0.5,uM,=,-0.3010299956639812,0,C1=C[C@@]23CCNCc4cccc(c42)O[C@H]3CC1
5,1784114,10.1021/acsmedchemlett.7b00463,,,,Inhibition of human AChE using acetylthiocholine iodide as substrate incubated for 20 mins followed by substrate addition measured after 2 mins by Ellman's method,O=C(O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCNc1c2c(nc3ccccc13)CCCC2,"2-(2-(cyclopropanecarboxamido)pyridin-4-yl)-4-(2-(1,2,3,4-tetrahydroacridin-9-ylamino)ethoxy)thiazole-5-carboxylic acid",0.58,uM,=,-0.2365720064370627,0,O=C(Nc1cc(-c2nc(OCCNc3c4c(nc5ccccc35)CCCC4)cs2)ccn1)C1CC1
6,1932474,10.1021/acs.jmedchem.6b00426,,,,Inhibition of human erythrocyte AChE using ATCI as substrate preincubated for 30 mins followed by substrate addition measured after 30 mins by Ellman assay,Cc1ccc(-c2nc(NC(=O)C3CCN(Cc4ccccc4C(F)(F)F)CC3)sc2-c2ccc(C)cc2)cc1,"1-(2-Trifluoromethylbenzyl)-N-[4,5-bis(p-tolyl)thiazol-2-yl]-piperidine-4-carboxamide",7.57,uM,=,0.8790958795000727,1,O=C(Nc1nc(-c2ccccc2)c(-c2ccccc2)s1)C1CCN(Cc2ccccc2)CC1
7,2088239,10.1016/j.ejmech.2020.112257,,,,Inhibition of recombinant human erythrocyte AChE using acetylthiocholine iodide as substrate preincubated for 30 mins followed by substrate addition and measured after 30 mins by spectrophotometry based Ellman's method,COc1cc(/C=C/C(=O)N2CCN(c3ccc(F)cc3)CC2)ccc1O,(E)-1-(4-(4-fluorophenyl)piperazin-1-yl)-3-(4-hydroxy-3-methoxyphenyl)prop-2-en-1-one,11.04,uM,=,1.04296907339318,1,O=C(/C=C/c1ccccc1)N1CCN(c2ccccc2)CC1
8,1458076,10.1016/j.bmcl.2014.05.040,,,,Inhibition of AChE (unknown origin) using ACh chloride as substrate preincubated for 15 mins before substrate addition by Ellman method,COC(=O)C(CC1=NO[C@@H]2CCC[C@@H]2[C@H]1c1ccccc1)C(=O)OC,"dimethyl 2-(((4S,4aS)-4-phenyl-4,4a,5,6,7,7a-hexahydrocyclopenta[e][1,2]oxazin-3-yl)methyl)malonate",75.35,uM,=,1.8770832566506503,1,C1=NO[C@@H]2CCC[C@@H]2[C@H]1c1ccccc1
9,2048534,10.1016/j.bmc.2020.115721,,,,Inhibition of human AChE by Ellman's method,Oc1ccccc1CNC1CCN(Cc2ccccc2)C1,2-(((1-Benzylpyrrolidin-3-yl)amino)methyl)phenol,2.258,uM,=,0.353723937588949,1,c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1
10,2082795,10.1016/j.ejmech.2021.113286,,,,Inhibition of human AChE assessed as decrease in enzyme activity incubated for 30 mins by Ellman's method,O/N=C/c1cc(Cl)cc(CNc2ccc(-n3cccn3)cc2)c1O,(E)-3-((4-(1H-pyrazol-1-yl)phenylamino)methyl)-5-chloro-2-hydroxybenzaldehyde oxime,3035.0,uM,=,3.482158695411276,1,c1ccc(CNc2ccc(-n3cccn3)cc2)cc1
11,811771,10.1016/j.bmc.2012.02.044,,,,Inhibition of human erythrocyte AChE assessed as acetylthiocholine iodide hydrolysis after 10 mins preincubation by spectrophotometry,CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,bonannione A,91.5,uM,=,1.9614210940664485,1,O=C1C[C@@H](c2ccccc2)Oc2ccccc21
12,1890173,10.1016/j.ejmech.2019.02.021,,,,Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition and measured over 2 mins by UV-Vis spectrophotometric analysis based Ellman's method,O=C(CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1cc2ccccc2[nH]1,"N-(2-(1H-indol-2-yl)ethyl)-6-(6-chloro-1,2,3,4-tetrahydroacridin-9-ylamino)hexanamide",0.00073,uM,=,-3.136677139879544,0,O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1cc2ccccc2[nH]1
13,1641224,,,,,AChE/BuChE Inhibition Assay: The cholinesterase assays were performed using colorimetric method reported by Ellman. The appearance of product was monitored at 412 nm for 5 min using a spectrophotometer. The reaction rates were compared and the percent inhibition due to the presence of test compounds was calculated. Inhibition curve was obtained for each compound. The linear regression parameters were determined and the IC50 values extrapolated.,O=[N+]([O-])c1ccc2nc(NCCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2c1,"US9255091, 4e",0.096,uM,=,-1.0177287669604316,0,c1ccc(C[n+]2ccc(CCNc3nc4ccccc4s3)cc2)cc1
14,1589175,10.1021/acs.jmedchem.6b00609,,,,Inhibition of recombinant human AChE expressed in HEK293 cells using acetylthiocholine iodide as substrate preincubated for 120 mins followed by substrate addition by Ellman's method,COc1ccc(-c2cc3cc(OCCCN(C)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4)ccc3oc2=O)cc1,3-(((3-((3-(4-Methoxyphenyl)-2-oxo-2H-chromen-6-yl)oxy)propyl)(methyl)amino)methyl)phenyl(5-Phenylpentyl)carbamate,0.179,uM,=,-0.7471469690201069,0,O=C(NCCCCCc1ccccc1)Oc1cccc(CNCCCOc2ccc3oc(=O)c(-c4ccccc4)cc3c2)c1
15,2114059,10.1016/j.bmc.2021.116194,,,,Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,COc1ccc(CSS(=O)(=O)c2ccc(C)cc2)cc1,S-4-methoxybenzyl 4-methylbenzenthiosulfonate,0.4881999999999999,uM,=,-0.3114022249188302,0,O=S(=O)(SCc1ccccc1)c1ccccc1
