,assay_id,doi,year,volume,issue,assay_description,compound_smiles,compound_name,value,unit,relation,log_value,classification_label,scaffold_smiles
0,1577081,10.1016/j.bmc.2016.01.003,,,,Inhibition of wild type EGFR (unknown origin) autophosphorylation preincubated for 30 mins followed by ATP addition measured after 1 hr by kinase-glo luminescence assay,CC(C)Oc1cc2ncnc(Nc3ccc(Cl)c([N+](=O)[O-])c3)c2c2c1OCCO2,"N-(4-Chloro-3-nitrophenyl)-5-isopropoxy-2,3-dihydro-[1,4]dioxino[2,3-f]quinazolin-10-amine",0.1026,uM,=,-0.9888526392242024,0,c1ccc(Nc2ncnc3ccc4c(c23)OCCO4)cc1
1,2302351,10.1016/j.ejmech.2017.08.061,,,,Inhibition of wild type EGFR (unknown origin) expressed in baculovirus expression system by ELISA,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,N-(2-((2-(dimethylamino)ethyl)(methyl)amino)-4-methoxy-5-(4-(1-methyl-1H-indol-3-yl)pyrimidin-2-ylamino)phenyl)acrylamide,0.2289,uM,=,-0.6403542073254571,0,c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1
2,66587,10.1021/jm0005555,,,,Inhibition of epidermal growth factor receptor using enzyme assay,CCN1CCN(CC#CC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,4-(4-Ethyl-piperazin-1-yl)-but-2-ynoic acid [4-(3-bromo-phenylamino)-quinazolin-6-yl]-amide,0.065,uM,=,-1.1870866433571443,0,O=C(C#CCN1CCNCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1
3,1634977,10.1016/j.ejmech.2016.09.039,,,,Inhibition of N-terminal GST-tagged human EGFR cytoplasmic domain (669 to 1210 residues) expressed in baculovirus expression system preincubated for 10 mins followed by FAM-labelled peptide substrate addition by caliper mobility shift assay,COc1cc2c(Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,1-(2-chloro-4-((6-methoxy-7-(3-(4-methylpiperazin-1-yl)propoxy)quinazolin-4-yl)amino)phenyl)-3-(4-chlorophenyl)urea,0.001,uM,=,-3.0,0,O=C(Nc1ccccc1)Nc1ccc(Nc2ncnc3cc(OCCCN4CCNCC4)ccc23)cc1
4,1551515,10.1016/j.ejmech.2015.12.032,,,,Inhibition of human EGFR preincubated for 10 mins followed by addition of FAM-labeled peptide and incubated for 10 mins by Caliper motility shift assay,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCN1CCCCC1,N-(4-(6-methoxy-7-(2-(piperidin-1-yl)ethoxy)quinazolin-4-ylamino)phenyl)benzamide,4.61,uM,=,0.6637009253896482,1,O=C(Nc1ccc(Nc2ncnc3cc(OCCN4CCCCC4)ccc23)cc1)c1ccccc1
5,1520607,10.1016/j.ejmech.2015.08.026,,,,Inhibition of EGFR (unknown origin) by ELISA method,C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CNC(C)C)cc23)c1,"(S,E)-N-(4-(3-Ethynylphenylamino)-7-(tetrahydrofuran-3-yloxy)quinazolin-6-yl)-4-(isopropylamino)but-2-enamide",0.0064,uM,=,-2.193820026016113,0,c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1
6,67052,10.1016/0960-894X(94)80004-9,,,,Inhibitory activity against protein tyrosine kinase of Epidermal growth factor receptor was determined,CO[C@H]1[C@@H](N(C)C(=O)c2cccc([N+](=O)[O-])c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"3-methoxy-2-methyl-4-methyl(3-nitrophenyl)carboxamido-16-oxo-(2R,3S,4S,6S)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21(26),22,24,27-nonaene",4.8,uM,=,0.6812412373755872,1,O=C(N[C@@H]1CC2O[C@@H](C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1
7,1335368,10.1016/j.bmc.2014.01.035,,,,Inhibition of wild type EGFR domain (unknown origin) expressed in baculovirus expression system using Poly(Glu:Tyr)4:1 substrate after 60 mins by ELISA,CC(C)N1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,"(E)-N-(4-((3-Chloro-4-fluorophenyl)amino)thieno[2,3-d]pyrimidin-6-yl)-4-(4-isopropylpiperazin-1-yl)but-2-enamide",0.034,uM,=,-1.4685210829577449,0,O=C(/C=C/CN1CCNCC1)Nc1cc2c(Nc3ccccc3)ncnc2s1
8,63788,10.1021/jm00075a010,,,,Inhibitory concentration against EGF receptor by polyGAT phosphorylation,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,3-[3-(Benzooxazol-2-ylsulfanylmethyl)-4-hydroxy-5-methoxy-phenyl]-2-cyano-acrylamide,12.5,uM,=,1.0969100130080565,1,c1ccc(CSc2nc3ccccc3o2)cc1
9,1684241,10.1016/j.bmc.2017.04.001,,,,Inhibition of EGFR (unknown origin) using FAM-labeled peptide as substrate measured after 10 mins by mobility shift assay,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Indolocarbazole nitrogen derivative,0.238,uM,=,-0.623423042943488,0,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC[C@H]3O1
