,assay_id,doi,year,volume,issue,assay_description,compound_smiles,compound_name,value,unit,relation,log_value,classification_label,scaffold_smiles
0,2246941,10.1021/acs.jmedchem.1c02132,,,,Inhibition of CYP3A4 (unknown origin) incubated for 10 mins in presence of NADPH by LC-MS/MS analysis,CC(=O)Nc1cc(-c2cc(F)c(OC[C@@H](N)CC(C)C)c(Cl)c2)ccn1,(S)-N-(4-(4-((2-amino-4-methylpentyl)oxy)-3-chloro-5-fluorophenyl)pyridin-2-yl)acetamide,0.8,uM,=,-0.0969100130080563,0,c1ccc(-c2ccncc2)cc1
1,1685713,10.1016/j.bmc.2017.04.033,,,,Inhibition of recombinant CYP3A4 (unknown origin),C[C@@H](c1ccc(-c2ccccn2)cc1)N1CC[C@](CCCO)(c2ccccc2)OC1=O,"(R)-6-(3-hydroxypropyl)-6-phenyl-3-((S)-1-(4-(pyridin-2-yl)phenyl)ethyl)-1,3-oxazinan-2-one",23.0,uM,=,1.3617278360175928,1,O=C1OC(c2ccccc2)CCN1Cc1ccc(-c2ccccn2)cc1
2,51898,10.1016/s0960-894x(98)00653-2,,,,Antiviral activity as inhibition of human liver microsomal Cytochrome P450 3A4,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,"((1R,2R,4R)-1-Benzyl-2-hydroxy-4-{(R)-2-[3-(2-isopropyl-1lambda*4*-[1,3]thiazin-5-ylmethyl)-3-methyl-ureido]-3-methyl-butyrylamino}-5-phenyl-pentyl)-carbamic acid thiazol-5-ylmethyl ester",0.25,uM,=,-0.6020599913279624,0,O=C(CNC(=O)NCc1cscn1)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1
3,542857,10.1021/jm801313t,,,,Inhibition of human recombinant CYP3A4,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,Posaconazole,0.35,uM,=,-0.4559319556497244,0,O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OC[C@@H]4CO[C@@](Cn5cncn5)(c5ccccc5)C4)cc3)CC2)cc1
4,51927,10.1021/jm034111v,,,,Inhibition of recombinant human Cytochrome P450 3A4 using BFC [7-benzyloxy-4-trifluoromethylcoumarin] after 30 minutes,C[C@H](NC(=O)/C=C/c1ccc(F)cc1)c1ccc(F)c(N2CCOCC2)c1,(E)-N-[1-((S)-4-Fluoro-3-morpholin-4-yl-phenyl)-ethyl]-3-(4-fluoro-phenyl)-acrylamide,19.0,uM,=,1.2787536009528289,1,O=C(/C=C/c1ccccc1)NCc1cccc(N2CCOCC2)c1
5,305432,10.1016/j.bmcl.2005.01.044,,,,Selectivity towards cytochrome P450 3A4 enzyme activity,CC(C(c1ccc2cc(OCc3cccc(C(N)=O)c3)ccc2c1)n1ccnc1)N(C)C,3-[6-(2-Dimethylamino-1-imidazol-1-yl-propyl)-naphthalen-2-yloxymethyl]-benzamide,0.481,uM,=,-0.3178549236261682,0,c1ccc(COc2ccc3cc(Cn4ccnc4)ccc3c2)cc1
6,2134185,10.1021/acs.jmedchem.1c00855,,,,Inhibition of recombinant human CYP3A4 expressed in Escherichia coli using VG as probe substrate incubated for 15 to 60 mins by fluorometric assay,COCCNc1nc2cnc3cc(-c4c(C)noc4C)c(OC)cc3c2n1Cc1ccccn1,"7-(3,5-Dimethylisoxazol-4-yl)-8-methoxy-N-(2-methoxyethyl)-1-(pyridine-2-ylmethyl)-1H-imidazo[4,5-c]quinoline-2-amine",15.8,uM,=,1.1986570869544226,1,c1ccc(Cn2cnc3cnc4cc(-c5cnoc5)ccc4c32)nc1
7,830184,10.1016/j.bmcl.2012.05.118,,,,Inhibition of CYP3A4,O=C1Nc2ccccc2C2(CCN(C(=O)N[C@H](Cc3csc4ccccc34)C(=O)N3CCC(N4CCCCC4)CC3)CC2)N1,"(R)-N-(1-(1,4'-bipiperidin-1'-yl)-3-(benzo[b]thiophen-3-yl)-1-oxopropan-2-yl)-2'-oxo-2',3'-dihydro-1'H-spiro[piperidine-4,4'-quinazoline]-1-carboxamide",0.1,uM,=,-1.0,0,O=C1Nc2ccccc2C2(CCN(C(=O)N[C@H](Cc3csc4ccccc34)C(=O)N3CCC(N4CCCCC4)CC3)CC2)N1
8,464738,10.1016/j.bmcl.2008.01.126,,,,Inhibition of CYP3A4 in presence of 7-benzyloxy-4-trifluoromethyl coumarin substrate,Cc1oc(-c2ccccc2)nc1CCOc1cccc(C[C@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@H]2C(=O)O)c1,"(2R,3R)-3-(3-(2-(5-methyl-2-phenyloxazol-4-yl)ethoxy)benzyl)-1-(4-tert-butylphenyl)-4-oxoazetidine-2-carboxylic acid",20.0,uM,=,1.3010299956639813,1,O=C1[C@H](Cc2cccc(OCCc3coc(-c4ccccc4)n3)c2)CN1c1ccccc1
9,874946,10.1021/jm301039c,,,,Inhibition of CYP3A4 preincubated with substrate,CN1C(=N)N[C@@]2(c3cc(-c4cccc(C#N)c4)cs3)CN(c3ncc(F)cn3)C[C@H]2C1=O,"3-(5-((4aR,7aR)-6-(5-Fluoropyrimidin-2-yl)-2-imino-3-methyl-4-oxooctahydro-1H-pyrrolo[3,4-d]pyrimidin-7a-yl)thiophen-3-yl)benzonitrile",1.9,uM,=,0.2787536009528289,1,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cc(-c3ccccc3)cs2)N1
10,767875,10.1021/jm200758k,,,,Inhibition of CYP3A4,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nn12,"[7-(2-Methoxy-phenyl)pyrrolo[2,1-f][1,2,4]triazin-2-yl]-[4-(4-methyl-piperazin-1-yl)-phenyl]amine",9.4,uM,=,0.9731278535996988,1,c1ccc(-c2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nn23)cc1
11,1487309,10.1124/dmd.111.043505,,,,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 8 mins by LC-MS/MS analysis,Cl.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,Paroxetine.HCl,24.1,uM,=,1.3820170425748683,1,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
12,1527962,,,,,"Inhibition Assay (Testosterone Hydroxylase): To gain insight into the selectivity of the synthetic compounds, nicotine, nicotine related alkaloids and nicotine metabolites for inhibition of other CYPs, we examined the major CYP present in human liver (i.e., CYP 3A4). That the CYP2A6 inhibitors showed low or no inhibitory activity against CYP3A4 suggests that the inhibitors examined selectively inhibited CYP2A6.",c1cncc(-n2ccnc2)c1,3-Imidazol-1-yl-pyridine,109.0,uM,=,2.037426497940624,1,c1cncc(-n2ccnc2)c1
13,1528855,,,,,"Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.",C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(-c5ccc(NC(=O)CCCNCCC(C)=O)cc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1,"US8940739, D-72",2.78,uM,=,0.4440447959180762,1,O=C1[C@H](Cc2ccccc2)N2C(=O)CNN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2c(-c3ccccc3)c[nH]c12
14,1367425,10.1021/jm5003606,,,,Inhibition of recombinant CYP3A4 (unknown origin) by LC/MS/MS analysis,CCc1nc2cc(Cl)ccn2c1C(=O)NCc1ccc(N2CCC(c3ccc(F)cc3)CC2)cc1,"7-Chloro-2-ethyl-N-{4-[4-(4-fluorophenyl)piperidin-1-yl]benzyl}-imidazo[1,2-a]pyridine-3-carboxamide",2.07,uM,=,0.3159703454569177,1,O=C(NCc1ccc(N2CCC(c3ccccc3)CC2)cc1)c1cnc2ccccn12
15,1772941,10.1016/j.ejmech.2018.01.002,,,,Inhibition of human supersome CYP3A4 using testosterone as substrate assessed as testosterone 6beta-hydroxylation after 30 mins by HPLC-UV detection,O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCN(c2cccc3sccc23)CC1,(S)-4-((2-(2-(4-(Benzo[b]thiophen-4-yl)piperazin-1-yl)ethyl)pyrrolidin-1-yl)sulfonyl)isoquinoline,10.0,uM,=,1.0,1,O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCN(c2cccc3sccc23)CC1
